step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
310,1852074,47499.01,12860.0,0.0,0.0,0.0,0.0
184,1852074,21001.03,485.0,0.0,0.0,0.0,0.0
229,457095,540611.51,0.0,0.0,882427.72,1423039.23,0.0
258,1949085,97497.88,153262.0,55764.12,175084.73,272582.61,0.0
256,1949085,327386.88,6258.0,0.0,0.0,327386.88,0.0
202,1949085,154131.23,210348.0,56216.77,50639.12,204770.34,0.0
188,1852074,5334.78,0.0,0.0,0.0,0.0,0.0
183,1852074,10407.41,1133.0,0.0,0.0,0.0,0.0
350,1852074,23295.23,2056.0,0.0,0.0,0.0,0.0
9,1852074,26476.37,0.0,0.0,0.0,0.0,0.0
354,1949085,465771.58,15962.0,0.0,65353.93,531125.51,0.0
209,1852074,14233.39,0.0,0.0,0.0,0.0,0.0
136,1949085,185382.23,0.0,0.0,661360.99,846743.23,0.0
157,457095,289147.78,0.0,0.0,357360.34,646508.12,0.0
46,1207257,134652.35,1152.0,135804.35,136479.67,1827.32,0.0
163,1949085,172735.54,29502.62,0.0,179797.11,352532.64,0.0
13,457095,222244.63,0.0,0.0,515115.21,597313.81,0.0
376,1207257,58221.45,6143.0,64364.45,7565231.69,7507010.24,0.0
352,1852074,11498.64,0.0,0.0,0.0,0.0,0.0
162,1852074,1827.24,0.0,0.0,0.0,0.0,0.0
379,1852074,909.48,93339.74,92430.26,0.0,0.0,0.0
301,1949085,162.46,0.0,0.0,5901737.37,5901899.83,0.0
302,1207257,116589.14,21843040.65,21959629.79,7941302.3,7824713.16,0.0
283,457095,1194809.78,0.0,0.0,1588860.27,2783670.05,0.0
37,1949085,27977.2,1216.0,0.0,484169.9,512147.1,0.0
203,1852074,12634.11,0.0,0.0,0.0,0.0,0.0
201,1852074,5976.03,92237.9,86261.87,0.0,0.0,0.0
135,1949085,71440.51,22077.23,0.0,1885551.28,1956991.79,0.0
305,1852074,21760.28,10803.0,0.0,0.0,0.0,0.0
180,1207257,28030.22,31570.0,59600.22,344496.36,316466.14,0.0
36,457095,601718.77,497331.0,0.0,106223.68,720464.23,0.0
225,1207257,198932.7,62801.0,261733.7,74843.63,0.0,0.0
301,1949085,107169.18,0.0,0.0,2324118.17,2431287.34,0.0
347,1852074,8267.62,51652.0,43384.38,0.0,0.0,0.0
349,1852074,22879.57,0.0,0.0,0.0,0.0,0.0
161,1949085,359444.02,0.0,0.0,676719.97,1036163.99,0.0
258,1207257,322209.8,115768.05,437977.85,1146742.72,824532.91,0.0
348,1207257,232305.4,7652006.19,7884311.59,317140.95,84835.56,0.0
130,1852074,20933.53,277609.74,256676.21,0.0,0.0,0.0
34,1949085,239097.64,0.0,0.0,533117.4,772215.03,0.0
355,1949085,41225.13,0.0,0.0,1602212.99,1643438.12,0.0
346,1949085,376246.09,61785.0,0.0,0.0,376246.09,0.0
256,1852074,3666.85,10722.0,7055.15,0.0,0.0,0.0
212,1207257,234882.66,1087.0,235969.66,0.0,0.0,0.0
231,1207257,169811.34,10821.0,180632.34,4295547.36,4125736.02,0.0
153,1949085,199989.13,71156.0,0.0,0.0,199989.13,0.0
38,1949085,346357.48,0.0,0.0,1433075.34,1779432.81,0.0
254,1852074,2628.85,0.0,0.0,0.0,0.0,0.0
14,1852074,6930.86,373605.38,366674.52,0.0,0.0,0.0
204,457095,433758.89,94618.0,0.0,28989.99,462748.88,0.0
23,1949085,505169.49,0.0,0.0,1238050.38,1743219.87,0.0
