step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
297,1852074,1954.42,0.0,0.0,0.0,0.0,0.0
332,1852074,976.97,31028.0,30051.03,0.0,0.0,0.0
303,1207257,242346.94,3855162.64,4097509.58,975117.8,732770.86,0.0
48,1852074,9649.78,10683.0,1033.22,0.0,0.0,0.0
157,1949085,278035.77,12176.0,0.0,45572.79,323608.55,0.0
187,1949085,135287.81,0.0,0.0,1157954.34,1293242.15,0.0
349,1949085,540669.04,0.0,0.0,1736469.8,2277138.84,0.0
164,1852074,10118.09,191635.0,181516.91,0.0,0.0,0.0
254,1852074,179.77,0.0,0.0,0.0,0.0,0.0
283,457095,445490.93,0.0,0.0,912445.48,1357936.41,0.0
139,35119,4744.86,145983.19,141238.34,524405.66,529150.51,0.0
9,1949085,177364.07,0.0,0.0,4855694.31,4643612.19,0.0
14,1949085,22825.09,0.0,0.0,2490712.04,2513537.14,0.0
133,1852074,22721.44,24682.0,1960.56,0.0,0.0,0.0
322,1949085,265567.08,0.0,0.0,2988766.95,3254334.02,0.0
373,1949085,106507.59,0.0,0.0,344099.24,450606.83,0.0
346,1949085,169210.48,0.0,0.0,867772.3,1036982.78,0.0
19,1207257,331813.01,22338870.18,22670683.18,346104.98,14291.97,0.0
323,1949085,247690.22,0.0,0.0,381810.42,629500.64,0.0
184,1852074,25676.51,90456.0,64779.49,0.0,0.0,0.0
140,1207257,304067.9,166870.86,470938.76,3386421.77,3082353.87,0.0
44,1852074,59121.0,0.0,0.0,0.0,0.0,0.0
297,1949085,154089.7,102551.0,0.0,280380.42,434470.12,0.0
231,1949085,270245.77,53205.0,0.0,3328.12,273573.89,0.0
132,1949085,162437.65,0.0,0.0,1146349.35,1308786.99,0.0
34,1852074,37808.58,60308.0,22499.42,0.0,0.0,0.0
182,1207257,217002.78,7072343.03,7289345.81,1257155.07,1040152.28,0.0
306,1949085,182473.97,124767.0,0.0,83171.22,265645.19,0.0
49,1852074,11502.48,41397.62,29895.13,0.0,0.0,0.0
227,1207257,345021.81,635317.67,980339.49,1338163.29,993141.48,0.0
328,1852074,9045.86,0.0,0.0,0.0,0.0,0.0
302,1852074,27312.52,0.0,0.0,0.0,0.0,0.0
37,1949085,147368.53,3737.0,0.0,63353.96,210722.49,0.0
327,1949085,136932.51,0.0,0.0,3213026.46,3349958.98,0.0
306,1852074,26469.47,54332.0,27862.53,0.0,0.0,0.0
277,1852074,108.9,0.0,0.0,0.0,0.0,0.0
349,1949085,108128.39,59467.0,0.0,0.0,108128.39,0.0
17,1852074,13169.95,0.0,0.0,0.0,0.0,0.0
309,1852074,16363.77,21103.0,4739.23,0.0,0.0,0.0
378,1949085,336206.34,10998.0,0.0,72450.01,408656.36,0.0
201,1949085,17871.32,30895.0,13023.68,0.0,17871.32,0.0
354,1207257,192378.22,53161.89,245540.11,3253584.16,3061205.93,0.0
181,1852074,27474.36,0.0,0.0,0.0,0.0,0.0
323,1207257,39857.68,79893.0,119750.68,723829.5,683971.82,0.0
332,1949085,146120.45,157498.0,11377.55,0.0,146120.45,0.0
249,1852074,7366.35,93033.0,85666.65,0.0,0.0,0.0
13,1207257,417513.36,613181.99,1030695.35,567158.32,149644.97,0.0
312,1207257,444518.49,4114778.63,4559297.12,8902614.8,8458096.31,0.0
236,1852074,6354.01,9223.0,2868.99,0.0,0.0,0.0
371,1949085,349187.7,15646.0,0.0,1005737.96,1354925.66,0.0
227,1207257,141825.76,2372002.62,2513828.38,171271.12,29445.36,0.0
230,1207257,187608.57,18221284.93,18408893.5,2769560.59,2581952.02,0.0
356,457095,526473.41,0.0,0.0,2016124.3,2542597.72,0.0
379,457095,110541.21,7032.0,0.0,3857738.14,3968279.34,0.0
348,457095,646569.27,0.0,0.0,7048788.99,7695358.26,0.0
355,1949085,151685.88,32807.47,0.0,7618711.67,7770397.54,0.0
181,1949085,448280.13,0.0,0.0,2635264.69,3083544.81,0.0
11,1949085,177185.21,0.0,0.0,253770.05,430955.26,0.0
